words,encoded
2977,996
297877,997
298,998
"299,14",999
"299,86",1000
2e,1001
2em,1002
2°,1003
3,1004
"3,12",1005
"3,15",1006
"3,20",1007
"3,25",1008
3-,1009
3-3,1010
3.,1011
3.1,1012
3.2,1013
3.3,1014
3.3.-,1015
3.3.2,1016
3.3.4,1017
3.5,1018
3.5.,1019
3.6,1020
3/10,1021
3/1000em,1022
3/4,1023
30,1024
30.91,1025
30/05/2013,1026
300,1027
3011,1028
301116,1029
3012,1030
304,1031
"305,80",1032
306,1033
307,1034
308,1035
"308,43",1036
309,1037
"309,35",1038
309000,1039
31,1040
31-12-1968,1041
3102,1042
3111,1043
3123-19,1044
3123-20,1045
3133,1046
314,1047
315,1048
"315,40",1049
315-12,1050
"316,79",1051
317,1052
31791,1053
32,1054
32.00,1055
32095,1056
3221-11,1057
3221-3,1058
324,1059
"325,56",1060
"325,75",1061
"326,87",1062
"327,34",1063
"327,39",1064
"327,67",1065
"328,98",1066
33,1067
330,1068
"330,73",1069
331,1070
333,1071
334,1072
"335,96",1073
336,1074
"337,80",1075
"338,28",1076
34,1077
340,1078
"340,50",1079
340698,1080
"341,28",1081
342,1082
"342,47",1083
"346,96",1084
348/2005,1085
349,1086
35,1087
350,1088
"350,40",1089
351,1090
"351,00",1091
"351,08",1092
351-21,1093
352,1094
"353,38",1095
3538,1096
"355,31",1097
"355,76",1098
356,1099
"356,62",1100
3576,1101
"358,13",1102
"359,05",1103
"359,89",1104
"359,90",1105
36,1106
361,1107
362,1108
"362,08",1109
"363,02",1110
"363,28",1111
364,1112
3642,1113
"365,88",1114
"365,95",1115
367254,1116
"368,79",1117
369,1118
3693,1119
3694,1120
37,1121
37-10,1122
370,1123
"370,25",1124
370430,1125
"371,12",1126
"371,69",1127
"372,18",1128
3723,1129
3725,1130
376,1131
"378,70",1132
378266-1,1133
"379,26",1134
"379,38",1135
38,1136
38-10,1137
380,1138
382,1139
"382,13",1140
"383,98",1141
"384,88",1142
"384,89",1143
"385,11",1144
387,1145
"388,95",1146
39,1147
391,1148
3916,1149
392,1150
394,1151
396453-1,1152
3976,1153
"398,36",1154
"399,18",1155
3e,1156
3em,1157
3°,1158
3‰,1159
4,1160
"4,6",1161
4-,1162
4-2,1163
4.1,1164
4.2,1165
4.3,1166
4.3.1,1167
4/10,1168
4/4,1169
40,1170
400,1171
401,1172
"401,38",1173
"401,48",1174
402029-1,1175
4027,1176
4028,1177
403,1178
4039,1179
406,1180
"406,67",1181
407,1182
"407,96",1183
408,1184
409,1185
"409,40",1186
41,1187
411,1188
"411,26",1189
4111,1190
41151,1191
4116,1192
"412,50",1193
4141,1194
4146,1195
415,1196
"415,08",1197
416,1198
4161,1199
419,1200
42,1201
420,1202
"420,20",1203
421,1204
"421,80",1205
"421,88",1206
421-20,1207
42105,1208
422,1209
423,1210
"423,78",1211
423-10,1212
423-11,1213
425,1214
"425,92",1215
"426,26",1216
"426,35",1217
"426,56",1218
427155-1,1219
428,1220
4282,1221
429,1222
43,1223
"43,20",1224
43-11,1225
430,1226
"431,30",1227
43252,1228
43291,1229
"433,27",1230
"433,56",1231
433-12,1232
433-4,1233
434,1234
435,1235
4356,1236
"437,26",1237
437096-1,1238
"440,39",1239
44041,1240
4411,1241
442,1242
"442,85",1243
443,1244
443.20,1245
"444,53",1246
"444,72",1247
445,1248
445888,1249
446,1250
"446,39",1251
447,1252
"448,54",1253
448/2005,1254
45,1255
"45,12",1256
450,1257
"450,55",1258
451,1259
"455,29",1260
"456,50",1261
457,1262
"457,91",1263
"458,30",1264
46,1265
460,1266
"460,28",1267
461,1268
"465,88",1269
46721,1270
46726,1271
468/2005,1272
4684141,1273
468614,1274
"469,41€",1275
47,1276
470,1277
"470,20",1278
"470,27",1279
"472,86",1280
4725,1281
475,1282
"475,16",1283
476/2005,1284
"478,34",1285
479,1286
48,1287
"484,87",1288
"485,00",1289
"486,68",1290
488,1291
49,1292
"490,68",1293
"491,03",1294
"492,61",1295
494,1296
49421,1297
"495,40",1298
"495,86",1299
497,1300
"498,82",1301
"499,33",1302
"499,76",1303
4em,1304
4°,1305
5,1306
"5,25",1307
5.2,1308
5.3.1,1309
5/10,1310
50,1311
50-1253,1312
50.00,1313
500,1314
"500,83",1315
501,1316
"501,56",1317
"501,84",1318
5016,1319
"503,08",1320
505,1321
"506,40",1322
507,1323
"508,07",1324
"508,32",1325
"508,63",1326
508508,1327
5090,1328
51,1329
"511,80",1330
5117,1331
51172,1332
"512,38",1333
5134-20,1334
51350,1335
"517,19",1336
518,1337
"519,44",1338
52,1339
52.80,1340
520,1341
"521,83",1342
5211-1,1343
5211-12,1344
5211-41-3,1345
5211-9,1346
"522,03",1347
"522,04",1348
"522,59",1349
"522,89",1350
"523,45",1351
"523,49",1352
"524,07",1353
"525,32",1354
"525,56",1355
528,1356
"531,33",1357
"531,88",1358
534,1359
"538,22",1360
"538,40",1361
"538,68",1362
"539,80",1363
54,1364
"540,14",1365
"541,57",1366
"542,68",1367
"543,40",1368
544,1369
545,1370
"545,97",1371
"548,59",1372
5481,1373
55,1374
551,1375
"551,04",1376
552,1377
553,1378
554,1379
"555,26",1380
"555,79",1381
"558,73",1382
"558,85",1383
559,1384
"559,51",1385
"559,95",1386
56,1387
560,1388
561,1389
"561,60",1390
"562,28",1391
5649,1392
57,1393
5702,1394
"571,69",1395
573.25,1396
574,1397
"574,25",1398
"574,50",1399
5746,1400
"578,98",1401
58,1402
58.60,1403
"580,62",1404
"580,90",1405
581,1406
"583,01",1407
"585,80",1408
"586,73",1409
"588,23",1410
59,1411
59.40,1412
590,1413
595,1414
"595,67",1415
"598,60",1416
"599,06",1417
"599,18",1418
"599,54",1419
"599,76",1420
5em,1421
5°,1422
5…,1423
6,1424
"6,41",1425
6-1,1426
6/10,1427
60,1428
60-i,1429
60-iv,1430
60-v,1431
60-vi,1432
60-vii,1433
60-xi,1434
60.iv,1435
60.vi,1436
600,1437
"602,64€",1438
"606,40",1439
6064,1440
607,1441
"607,37",1442
608,1443
"608,40",1444
"609,82",1445
61,1446
"61,50",1447
610,1448
"610,06",1449
6102,1450
613,1451
"613,04",1452
"613,58",1453
"613,78",1454
61396,1455
6143-,1456
6143-1,1457
6143-7,1458
6145-54-3,1459
6145-9,1460
615,1461
6152-201,1462
6152-402,1463
6152-611,1464
6152-612,1465
6152-8,1466
"616,57",1467
617,1468
617-9,1469
"618,76",1470
619,1471
"619,57",1472
62,1473
62-1587,1474
62.40,1475
6218,1476
622-17,1477
622-24,1478
622-26,1479
622-27,1480
622-31,1481
622-33,1482
622-6,1483
6226,1484
6247,1485
625,1486
6251,1487
626,1488
"627,75",1489
628,1490
"628,56",1491
"628,81",1492
"628,91",1493
"629,11",1494
62−1587,1495
63,1496
63-153,1497
63-156,1498
630,1499
6345,1500
635,1501
"639,3",1502
63­156,1503
64,1504
640-1,1505
641-13,1506
641-3,1507
64111,1508
64118,1509
64138,1510
64151,1511
64158,1512
64168,1513
"642,38",1514
64242,1515
64244,1516
6425,1517
64251,1518
64252,1519
64253,1520
6426,1521
"643,4",1522
"643,76",1523
"645,56",1524
"648,65",1525
648-8,1526
6488,1527
649,1528
"649,54",1529
65,1530
65-10,1531
650,1532
"650,92",1533
"652,16",1534
"652,82",1535
654,1536
6540,1537
6541,1538
6568,1539
6574,1540
65741,1541
659,1542
"659,81",1543
66,1544
660,1545
661,1546
"661,48",1547
"661,60",1548
"661,71",1549
663,1550
"665,54",1551
"666,12",1552
"666,64",1553
"666,97",1554
"668,88",1555
"669,14",1556
67,1557
"670,50",1558
672,1559
673,1560
"674,98",1561
675,1562
677,1563
"677,99",1564
679,1565
"679,76",1566
68,1567
68-1250,1568
680,1569
6811,1570
681250,1571
"682,56",1572
"683,68",1573
6834,1574
684,1575
"684,88",1576
"687,46",1577
6879,1578
69,1579
"690,15",1580
"691,60",1581
"694,04",1582
"698,06",1583
"698,11",1584
"698,15",1585
"698,72",1586
6em,1587
6°,1588
7,1589
7/10,1590
7/2008,1591
70,1592
700,1593
"700,82",1594
"700,89",1595
"700,96",1596
701,1597
"701,75",1598
"703,68",1599
704,1600
"704,02",1601
"704,28",1602
"704,45",1603
705,1604
706,1605
"708,13",1606
7086,1607
71,1608
"710,47",1609
711,1610
"711,15",1611
7115,1612
7117,1613
7118,1614
7119,1615
712,1616
7120,1617
713,1618
7131,1619
714,1620
7141,1621
715,1622
"719,17",1623
7194,1624
72,1625
72-,1626
"720,76",1627
721,1628
7211,1629
"724,46",1630
726,1631
"726,06",1632
"726,25",1633
"726,26",1634
7261,1635
"728,42",1636
"729,02",1637
"729,15",1638
"729,88",1639
"730,08",1640
7357,1641
"736,66",1642
"737,11",1643
"738,33",1644
74,1645
740,1646
"740,12",1647
"741,86",1648
7414,1649
"744,54",1650
"746,73",1651
"747,97",1652
"748,88",1653
"749,98",1654
75,1655
75-2010,1656
75.90,1657
"752,50",1658
"753,00",1659
754,1660
758,1661
"759,06",1662
"759,19",1663
"759,73",1664
"760,99",1665
761,1666
"761,13",1667
"761,43",1668
"761,97",1669
"762,53",1670
"764,77",1671
"768,40",1672
769,1673
"769,50",1674
"77,25",1675
7713,1676
773,1677
774,1678
775,1679
"776,27",1680
"776,29",1681
777,1682
"777,63",1683
"777,73",1684
"778,60",1685
78,1686
780,1687
"780,68",1688
"783,30",1689
785/2014,1690
"786,27",1691
"786,81",1692
"789,96",1693
79,1694
791,1695
"791,78",1696
792,1697
794,1698
"794,76",1699
795,1700
"795,99",1701
795€,1702
797,1703
"797,00",1704
"798,98",1705
7em,1706
7°,1707
8,1708
8/10,1709
80,1710
800,1711
"800,89",1712
"803,70",1713
"804,16",1714
"806,94",1715
"808,54",1716
809,1717
81,1718
810,1719
"811,41",1720
"813,76",1721
"814,36",1722
815,1723
"817,50",1724
818,1725
"818,25",1726
"818,36",1727
"818,43",1728
82,1729
82-213,1730
"820,20",1731
82170,1732
"822,38",1733
"823,70",1734
"824,14",1735
"824,15",1736
826,1737
"826,70",1738
829,1739
"829,48",1740
83,1741
83-634,1742
83-744,1743
"831,08",1744
8313,1745
8314,1746
832,1747
"834,33",1748
"837,00",1749
"838,67",1750
"839,01",1751
"839,32",1752
84,1753
84-53,1754
842,1755
"843,28",1756
"843,95",1757
"844,47",1758
85,1759
850,1760
"851,76",1761
"854,36",1762
855,1763
8559,1764
"857,92",1765
86,1766
86-33,1767
864,1768
"864,91",1769
866,1770
"866,48",1771
867,1772
"867,96",1773
"868,19",1774
"868,50",1775
87,1776
"87,50",1777
"870,24",1778
"870,46",1779
871,1780
872,1781
876,1782
"876,65",1783
878,1784
"878,40",1785
879,1786
88,1787
"88,66",1788
88-1083,1789
88-631,1790
"880,83",1791
"882,00",1792
"883,25",1793
"884,21",1794
885,1795
"885,12",1796
"887,82",1797
"888,51",1798
"889,56",1799
"889,90",1800
"89,89",1801
89-922,1802
895,1803
897,1804
899,1805
8em,1806
9,1807
"9,88",1808
9/10,1809
90,1810
90-693,1811
900,1812
"900,74",1813
"901,24",1814
"901,61",1815
"901,94",1816
"903,80",1817
904,1818
907,1819
"907,61",1820
"909,10",1821
91-155,1822
91-875,1823
910,1824
912,1825
"912,84",1826
"914,33",1827
915,1828
"916,57",1829
"917,60",1830
918,1831
92,1832
92-566,1833
921,1834
"923,20",1835
"923,49",1836
"923,84",1837
"924,04",1838
"924,10",1839
926,1840
"927,01",1841
"927,46",1842
"928,08",1843
9281,1844
"929,80",1845
"929,85",1846
93.00,1847
"930,56",1848
9325,1849
9347,1850
935,1851
9354,1852
9355,1853
9356,1854
9357,1855
9358,1856
9359,1857
"936,60",1858
"937,92",1859
94,1860
94/2005,1861
"940,78",1862
"941,17",1863
"943,50",1864
"943,56",1865
"945,83",1866
"946,43",1867
"947,75",1868
"947,76",1869
"947,92",1870
95,1871
950,1872
953,1873
"953,23",1874
"955,18",1875
957,1876
958,1877
"959,28",1878
96,1879
"96,91",1880
"960,00",1881
962,1882
964,1883
97,1884
97-113-v1,1885
"971,50",1886
"972,40",1887
973,1888
975,1889
976,1890
977,1891
"977,22",1892
97…,1893
98,1894
98-013-a3,1895
"980,00",1896
"981,38",1897
"982,82",1898
"983,28",1899
985,1900
"986,07€",1901
9864,1902
"987,52",1903
"989,24",1904
98…,1905
99,1906
99-026-am,1907
99-a-m,1908
99.00,1909
99.20,1910
990,1911
9934,1912
994,1913
995,1914
999,1915
"999,90",1916
99…,1917
9h30,1918
:,1919
;,1920
<ch>rtom,1921
"<s,>tefanut",1922
<sch>piro,1923
<z^>elislav,1924
=,1925
[,1926
],1927
_________,1928
``,1929
a,1930
a.,1931
aaliyah,1932
aaron,1933
abad,1934
abandon,1935
abd,1936
abdall,1937
abdallah,1938
abdelrahman,1939
abdul,1940
abdulmalik,1941
abel,1942
abgrall,1943
abiven,1944
abon,1945
about,1946
abrial,1947
abrog,1948
abryth,1949
absenc,1950
absent,1951
absorb,1952
abt,1953
aby,1954
accary-bezard,1955
acced,1956
accept,1957
acces,1958
accessibl,1959
accessoir,1960
accompagn,1961
accompl,1962
accord,1963
accorde,1964
accords-cadr,1965
accred,1966
accroissement,1967
accueil,1968
accus,1969
achat,1970
achet,1971
achev,1972
ackermann,1973
acompt,1974
acp,1975
acquis,1976
acquisit,1977
acquitt,1978
acte,1979
acteur,1980
actif,1981
action,1982
activ,1983
actualis,1984
actualisables…l,1985
actuel,1986
acté,1987
ad,1988
adam,1989
adapt,1990
additionnel,1991
adel,1992
adelaid,1993
adelgund,1994
adem,1995
adequ,1996
adhérent,1997
adjoint,1998
adjud,1999
admet,2000
admettr,2001
admettron,2002
administr,2003
administrative..,2004
admis,2005
admiss,2006
adnet,2007
adolph,2008
adon,2009
adopt,2010
adoss,2011
adress,2012
adressent,2013
adrian,2014
adriano,2015
adrien,2016
adversair,2017
adviel,2018
adéquat,2019
aeihso,2020
affair,2021
affect,2022
affich,2023
affirm,2024
affranch,2025
afférent,2026
afin,2027
afonso,2028
africain,2029
ag,2030
agent,2031
agi,2032
agir,2033
agiss,2034
agneray,2035
agnes,2036
agnie<sch>k,2037
agricol,2038
agré,2039
agrément,2040
aguillon,2041
agé,2042
ahmed,2043
aid,2044
aides-soign,2045
aides-soignants»,2046
aient,2047
aillaud,2048
ailleur,2049
ain,2050
ains,2051
airault,2052
aissaou,2053
aissatou,2054
ait,2055
aivar,2056
ajkun,2057
ajout,2058
akram,2059
akriv,2060
alain,2061
alal,2062
alan,2063
alaï,2064
alba,2065
alberic,2066
albert,2067
albertin,2068
albinet,2069
albrand,2070
alcaraz,2071
alert,2072
alex,2073
alexand,2074
alexandr,2075
alfonso,2076
alfred,2077
ali,2078
aliaksei,2079
alibert,2080
alienor,2081
alii,2082
alim,2083
alimentair,2084
alin,2085
aliné,2086
alis,2087
alish,2088
aliss,2089
alix,2090
allan,2091
allanic,2092
allant,2093
allardin,2094
allary,2095
alleg,2096
allegr,2097
allemand,2098
alli,2099
allibert,2100
alloc,2101
allocatair,2102
allou,2103
allouch,2104
allègu,2105
allégu,2106
alor,2107
alourd,2108
alphabet,2109
alphons,2110
alric,2111
alsac,2112
altan,2113
altar,2114
alter,2115
altern,2116
alvapill,2117
alvar,2118
alvin,2119
aly,2120
amac,2121
amai,2122
amalric,2123
amandin,2124
amann,2125
ambigu,2126
ambiguït,2127
ambigü,2128
amblard,2129
ame,2130
amel,2131
ameli,2132
amelin,2133
amen,2134
amend,2135
amiabl,2136
amic,2137
amiot,2138
amjad,2139
